"972","กรุงฮานอย(เวียดนาม) กรุงฮานอย(เวียดนาม)"
"959","กรุงมะนิลา(ฟิลิปปินส์) กรุงมะนิลา(ฟิลิปปินส์)"
"518","thaitcmexico thaitcmexico"
"840","กรุงโคเปนเฮเกน(เดนมาร์ค) กรุงโคเปนเฮเกน(เดนมาร์ค)"
"884","กรุงมอสโก(สหพันธรัฐรัสเซีย) กรุงมอสโก(สหพันธรัฐรัสเซีย)"
"2371","สำนักบริหารกลาง (General1) (สบก.)"
"325","anons N/A"
"2468","Nantapon  Thongsang"
"858","กรุงเฮก(เนเธอร์แลนด์) กรุงเฮก(เนเธอร์แลนด์)"
"981","กรุงพนมเปญ(กัมพูชา) กรุงพนมเปญ(กัมพูชา)"
"2349","สำนักประชาสัมพันธ์และสื่อสารองค์กร (สปส.)"
"2582","ปุณิกา กันติยางกูร"
"540","thanesponc thanesponc"
"1003","นครกวางโจว(จีน) นครกวางโจว(จีน)"
"977","นครโฮจิมินต์(เวียดนาม) นครโฮจิมินต์(เวียดนาม)"
"2269","เมืองชิงต่าว จีน"
"880","กรุงปราก(เช็ก) กรุงปราก(เช็ก)"
"1011","กรุงโซล(เกาหลี) กรุงโซล(เกาหลี)"
"2294","thaitcberlin thaitcberlin"
"894","นครชิคาโก(สหรัฐอเมริกา) นครชิคาโก(สหรัฐอเมริกา)"
"1498","Thaitcshanghai Shanghai"
"999","กรุงโตเกียว(ญี่ปุ่น) กรุงโตเกียว(ญี่ปุ่น)"
"1510","China Nanning"
"854","เมืองมิลาน(อิตาลี) เมืองมิลาน(อิตาลี)"
"963","กรุงสิงคโปร์ กรุงสิงคโปร์"
"1029","นครซิดนีย์(ออสเตรเลีย) นครซิดนีย์(ออสเตรเลีย)"
"178","mumbai india"
"955","กรุงย่างกุ้ง(พม่า) กรุงย่างกุ้ง(พม่า)"
"1016","กรุงมะนิลาส่วนที่ 2(ไต้หวัน) กรุงมะนิลาส่วนที่ 2(ไต้หวัน)"
"861","กรุงมาดริด(สเปน) กรุงมาดริด(สเปน)"
"850","นครแฟรงเฟริต(เยอรมนี) นครแฟรงเฟริต(เยอรมนี)"
"912","นครนิวยอร์ค(สหรัฐอเมริกา) นครนิวยอร์ค(สหรัฐอเมริกา)"
"832","ThaitcKL Vienna"
"2347","สำนักพัฒนาตลาดและธุรกิจไทยในต่างประเทศ 2 (สพต.2)"
"917","นครเซาเปาโล(บราซิล) นครเซาเปาโล(บราซิล)"
"990","เมืองฮ่องกง เมืองฮ่องกง"
"523","thaitcosaka thaitcosaka"
"2344","สำนักส่งเสริมการค้าสินค้าไลฟ์สไตล์  (สลต.)"
"907","เมืองไมอามี่(สหรัฐอมเริกา) เมืองไมอามี่(สหรัฐอมเริกา)"
"527","thaitcsantiago thaitcsantiago"
"513","thaitccairo thaitccairo"
"2590","กนกวรรณ ด้วงเมือง"
"1007","นครคุณหมิง(จีน) นครคุณหมิง(จีน)"
"722","suebsak dangboonrueng"
"2366","สำนักพัฒนาตลาดและธุรกิจไทยในต่างประเทศ 1(Ditpasea) (สพต.1)"
"2367","สำนักพัฒนาตลาดและธุรกิจไทยในต่างประเทศ 1(Ditpeast) (สพต.1)"
"1164","Thai Trade Center New Delhi"
"876","กรุงลอนดอน(สหราชอาณาจักร) กรุงลอนดอน(สหราชอาณาจักร)"
"531","thaitctoronto thaitctoronto"
"1430","thaitcxiamen thaitcxiamen"
"536","thaitcwarsaw thaitcwarsaw"
"1140","thaitcbudapest thaitcbudapest"
"1509","Kenya Nairobi"
"889","นครแวนคูเวอร์(แคนาดา) นครแวนคูเวอร์(แคนาดา)"
"194","chennai india สคต.เจนไน"
"927","เมืองดูไบ(สหรัฐอาหรับอิมิเรตส์) เมืองดูไบ(สหรัฐอาหรับอิมิเรตส์)"
"1506","Thai trade Center  Abuja Abuja"
"1289","thaitcchengdu chengdu"
"946","กรุงพริทอเรีย แอฟริกาใต้"
"2303","ตัณฑิตา สุโขบล"
"1508","Argentina Buenosaires"
"2574","Apsornsree Nethivutthisran"
"922","กรุงเตหะราน(อิหร่าน) กรุงเตหะราน(อิหร่าน)"
"986","กรุงเวียงจันทน์(ลาว) กรุงเวียงจันทน์(ลาว)"
"1861","Siriwan Phetnil"
"1937","Arisa Thubthim"
"2077","บิซ โพเทนเชียล"
"407","foods foods"
"2338","สำนักยุทธศาสตร์การค้าระหว่างประเทศ (สยค.)"
"2345","สำนักส่งเสริมการค้าสินค้าเกษตรและอุตสาหกรรม (สกอ.)"
"42","thaitckualalumpur Kualalumpur"
"2595","thaitchirochima hirochima"
"897","นครลอสแองเจลิส(สหรัฐอเมริกา) นครลอสแองเจลิส(สหรัฐอเมริกา)"
"932","กรุงจาการ์ตา(อินโดนีเซีย) กรุงจาการ์ตา(อินโดนีเซีย)"
"941","กรุงเจดดาห์(ซาอุดิอาระเบีย) กรุงเจดดาห์(ซาอุดิอาระเบีย)"
"845","กรุงปารีส(ฝรั่งเศส) กรุงปารีส(ฝรั่งเศส)"
"936","กรุงเทลอาวีฟ อิสราเอล"
"2304","Thitiya Phoungkwamsuk"
"950","อังการา อังการา"
"1141","thaitcdhaka thaitcdhaka"
